provider_code,urn,ukprn
S14,,10006399
S14,,10006399
2BF,140078,
155,138729,
1EJ,141683,
1EJ,,10053276
29S,100258,
2AF,109417,
1ZY,100591,
1ZY,100625,
1QL,109781,
1AS,137791,
1JN,,10058314
1JN,136266,
1MM,,10037587
1Q7,124161,
2FT,135973,
15F,135614,
25A,,10037395
2CH,138982,
2J5,141074,
2JU,140795,
2DT,144918,
1MJ,124690,
1FE,139968,
C76,,10035498
C76,137515,
1DU,136343,
1HC,141163,
L33,141916,
L33,,10055113
26V,139106,
12J,108838,
15C,144170,
178,132766,
1XB,137790,
16H,137108,
25D,,10035849
15W,138982,
213,137759,
1DF,139302,
1TZ,135311,
1TZ,,10055126
8H9,136628,
8H9,137628,
8H9,145536,
8H9,,10055367
1MN,136609,
1MN,,10058506
2A9,118229,
B78,,10007786
1B9,100687,
2L4,138084,
182,121423,
1JE,120784,
I30,,10007784
25Z,101497,
16J,137740,
27S,144408,
1DQ,125315,
H40,,10035578
13S,,10054050
13S,136888,
1AR,145404,
5P9,136628,
5P9,137628,
5P9,145536,
5P9,,10055367
2H6,135875,
29J,,10059545
1PR,142381,
2KW,140933,
2K6,104642,
28O,135614,
1G1,138547,
2L7,145778,
2JL,138203,
29L,124657,
S58,120784,
1WP,,10038655
1WP,138682,
1MC,138172,
15F,135614,
1WM,,10005550
1ZU,135600,
1ZU,,10044534
2A7,136126,
2A7,,10049725
25H,143319,
25H,,10058215
29S,100258,
2FT,135973,
25A,,10037395
291,137929,
264,141074,
29X,143469,
15C,144170,
C76,,10035498
C76,137515,
2J5,141074,
1H3,100750,
1ZA,138845,
1FE,139968,
25P,,10048034
25P,103124,
1JT,137289,
1JT,,10046414
1RV,139041,
1UY,138036,
1SO,138000,
1WQ,,10052834
1WQ,136291,
1MM,,10037587
24M,143881,
24M,,10064183
1N2,120589,
213,137759,
182,121423,
1AR,145404,
12J,108838,
I30,,10007784
2D4,143353,
H40,,10035578
1EH,102856,
27C,107963,
2EQ,131865,
29J,,10059545
2LE,130818,
2LM,145090,
2LM,121680,
2DE,139704,
1PR,142381,
2KW,140933,
2L7,145778,
2JL,138203,
S58,120784,
27S,144408,
29L,124657,
2LE,130818,
1YA,142732,
A46,136609,
A46,,10058506
169,135552,
16K,140482,
1WP,,10038655
1WP,138682,
1KT,139031,
1WM,,10005550
24T,137970,
24T,,10046745
25H,143319,
25H,,10058215
2DM,136552,
25P,,10048034
25P,103124,
1WQ,,10052834
1WQ,136291,
2D4,143353,
1ZU,135600,
1ZU,,10044534
1YA,142732,
1PU,117889,
27C,107963,
24Z,144236,
24Z,,10064599
2LJ,105787,
2LG,100687,
2LH,143211,
2LK,108901,
A46,136609,
A46,,10058506
2LL,144937,
1TV,113253,
1K5,114594,
27F,145697,
D86,,10007143
169,135552,
Y75,,10007713
2M3,,10046141
2M3,109578,
1DQ,125315,
1W8,138353,
1W8,138353,
1BD,111128,
2LM,145090,
2LM,121680,
1K7,123627,
1K7,,10006894
2A7,136126,
2A7,,10049725
2A8,123547,
27F,145697,
2A8,123547,
1YH,137798,
1YH,,10052837
1YH,137798,
1YH,,10052837
2BB,145599,
2BB,,10067433
21H,102260,
19C,137458,
1K5,114594,
1G1,138547,
21H,102260,
22T,103445,
2DZ,141156,
1L9,114612,
1SC,,10061209
19C,137458,
1EK,140795,
1WE,,10046628
25E,135120,
25E,,10055364
1GE,,10058447
23N,125231,
9J3,,10055541
1K7,123627,
1K7,,10006894
21M,136345,
2HO,120063,
267,101264,
1MX,104505,
