provider_code,provider_name,provider_postcode,site_code,site_name,site_postcode,establishment_ukprn,establishment_urn,establishment_name,establishment_postcode
1UR,Northern Education Trust,TS24 8NQ,P,Hilton Primary Academy,NE5 3RN,10039572,138995,Hilton Primary Academy,NE5 3RN
1UR,Northern Education Trust,TS24 8NQ,B,The Blyth Academy,NE24 4JP,10042701,140002,The Blyth Academy,NE24 4JP
1UR,Northern Education Trust,TS24 8NQ,G,The Grangefield Academy,TS18 4LE,10041602,139673,The Grangefield Academy,TS18 4LE
1EJ,Sydney Russell Teaching School Alliance,RM9 5QT,1,The Sydney Russell School,RM9 5QT,10048673,141683,The Sydney Russell School,RM9 5QT
13U,Hurstmere School,DA15 9AW,B,Blackfen School For Girls,DA15 9NU,10036933,137965,Blackfen School for Girls,DA15 9NU
13X,Astor College (A Specialist College for the Arts),CT17 0AS,B,Barton Junior school,CT16 2ND,10037462,138169,Barton Junior School,CT16 2ND
13X,Astor College (A Specialist College for the Arts),CT17 0AS,S,Shatterlocks Infant and Nursery School,CT16 2PB,10037459,138170,Shatterlocks Infant and Nursery School,CT16 2PB
1QL,Geoffrey Field Junior School,RG 2 8RH,O,Alfred Sutton Primary School,RG6 1JR,10068913,109776,Alfred Sutton Primary School,RG6 1JR
1QL,Geoffrey Field Junior School,RG 2 8RH,J,John Madejski Academy,RG2 8AF,10017917,130247,John Madejski Academy,RG2 8AF
1QL,Geoffrey Field Junior School,RG 2 8RH,V,Manor Primary School,RG30 3LJ,10077162,109944,Manor Primary School,RG30 3LJ
1QL,Geoffrey Field Junior School,RG 2 8RH,S,Southcote Primary school,RG30 3EJ,10068971,109795,Southcote Primary School,RG30 3EJ
21W,Woodbridge Primary School,IP12 1SS,K,Kyson Primary School,IP12 4HX,10077197,124628,Kyson Primary School,IP12 4HX
21W,Woodbridge Primary School,IP12 1SS,M,Melton Primary School,IP12 1PG,10069212,124597,Melton Primary School,IP12 1PG
2M1,Sarah Bonnell School,E15 4LP,P,Sarah Bonnell School,E15 4LP,10055668,142644,Sarah Bonnell School,E15 4LP
1MM,Notre Dame High School,S10 3BT,5,Dobcroft Infant School,S7 2LN,10070908,107048,Dobcroft Infant School,S7 2LN
1MM,Notre Dame High School,S10 3BT,4,Dore Primary School,S17 3QP,10069455,132152,Dore Primary School,S17 3QP
1MM,Notre Dame High School,S10 3BT,K,Sheffield Park Academy,S2 1SN,10017528,131895,Sheffield Park Academy,S2 1SN
1MM,Notre Dame High School,S10 3BT,9,St John Fisher Catholic High School,HG2 8PT,10006190,121717,St John Fisher Catholic High School,HG2 8PT
1MM,Notre Dame High School,S10 3BT,P,St Wilfrid's Catholic Primary School,S7 2HE,10039030,138830,St Wilfrid's Catholic Primary School,S7 2HE
1MM,Notre Dame High School,S10 3BT,L,Stocksbridge High School,S36 1FD,10066227,145274,Stocksbridge High School,S36 1FD
1MM,Notre Dame High School,S10 3BT,3,The Hill Primary Academy,S63 0DS,10038617,138700,The Hill Primary Academy,S63 0DS
1MM,Notre Dame High School,S10 3BT,N,Westways Primary School,S10 1NE,10075674,107095,Westways Primary School,S10 1NE
15A,Change through Learning Teaching School Alliance,CR7 8HJ,5,Croydon High School,CR2 8YB,10008179,101845,Croydon High School,CR2 8YB
1OA,Northern Schools Training Consortium,L5 0SQ,U,Liverpool Life Sciences UTC,L1 0BS,10041690,139588,Liverpool Life Sciences UTC,L1 0BS
1OA,Northern Schools Training Consortium,L5 0SQ,N,North Liverpool Academy,L5 0SQ,10018099,131065,North Liverpool Academy,L5 0SQ
1OA,Northern Schools Training Consortium,L5 0SQ,S,The Studio School Liverpool,L1 0BS,10041689,139589,The Studio School Liverpool,L1 0BS
1MB,Newlands Spring Primary School,CM1 4UU,1,Boreham Primary School,CM3 3DB,10080714,114937,Boreham Primary School,CM3 3DB
1MB,Newlands Spring Primary School,CM1 4UU,5,Broomfield Primary School,CM1 7DN,10073668,115292,Broomfield Primary School,CM1 7DN
1MB,Newlands Spring Primary School,CM1 4UU,6,Moulsham Infant School,CM2 9DG,10034070,136855,Moulsham Infant School,CM2 9DG
1MB,Newlands Spring Primary School,CM1 4UU,8,Writtle Junior School,CM1 3HG,10070635,115047,Writtle Junior School,CM1 3HG
12Y,Cleves School,KT13 9TS,4,Chandlers Field Primary School,KT8 2LX,10069614,125125,Chandlers Field Primary School,KT8 2LX
12Y,Cleves School,KT13 9TS,3,The Orchard Infant School,KT8 9HT,10078302,124964,The Orchard Infant School,KT8 9HT
1FE,David Ross Education Trust,DN36 4TF,D,Ainthorpe Primary School,HU5 5EB,10041520,139570,Ainthorpe Primary School,HU5 5EB
1FE,David Ross Education Trust,DN36 4TF,9,Briar Hill Primary School,NN4 8SW,10039367,138917,Briar Hill Primary School,NN4 8SW
1FE,David Ross Education Trust,DN36 4TF,P,Bringhurst Primary School,LE16 8RH,10047169,141279,Bringhurst Primary School,LE16 8RH
1FE,David Ross Education Trust,DN36 4TF,2,Cedar Road Primary School,NN3 2JF,10037465,138160,Cedar Road Primary School,NN3 2JF
1FE,David Ross Education Trust,DN36 4TF,5,Charles Read Academy,NG33 4NT,10032997,136479,Charles Read Academy,NG33 4NT
1FE,David Ross Education Trust,DN36 4TF,1,Eastfield Academy,NN3 2RJ,10038375,138423,Eastfield Academy,NN3 2RJ
1FE,David Ross Education Trust,DN36 4TF,K,Edward Heneage Primary Academy,DN32 9HL,10039062,138857,Edward Heneage Primary Academy,DN32 9HL
