id,provider_name,year_code,provider_code,provider_type,postcode,region_code,accrediting_provider,recruitment_cycle_id,ukprn,urn
15282,Oasis Foundry Teacher Training,2019,2GD,Lead School,B18 4LP,5,N,3,,
15306,South Axholme Academy,2019,23U,Lead School,DN9 1BY,9,N,3,10035688,137742
15316,Dales TSA,2019,2FL,Lead School,HG3 3NR,9,N,3,,
15452,Corpus Christi Catholic Academy Trust Alliance,2019,1L4,Lead School,LE2 3TA,6,N,3,,
15319,Dial Park Primary School,2019,1W5,Lead School,SK2 5LB,8,N,3,10072635,106043
15153,Kirk Hallam Community Technology and Sports College,2019,16Y,Lead School,DE7 4HH,6,N,3,,
15257,Leicester City Partnership,2019,283,Lead School,LE4 0SZ,6,N,3,,
15347,South Cumbria SCITT,2019,24W,Lead School,LA9 6PJ,8,Y,3,,
15352,Cornwallis Academy,2019,28X,Lead School,ME17 4HX,2,N,3,10021031,135371
15218,Temple Newsam Learning Partnership,2019,27G,Lead School,LS9 0JY,9,N,3,,
15527,Woodland Community Primary School,2019,25V,Lead School,WN8 6QH,8,N,3,,
15259,The Chafford School,2019,1TB,Lead School,RM13 9XD,1,N,3,,
15156,Milestones Academy,2019,1WX,Lead School,DA3 8JZ,2,N,3,,
15160,The Royal Central School of Speech and Drama,2019,C35,HEI,NW3 3HY,1,Y,3,,
15460,St Bede Academy,2019,1ZJ,Lead School,BL3 3LJ,8,N,3,10034143,136889
15463,Highdown School and Sixth Form Centre,2019,1UJ,Lead School,RG4 8LR,2,N,3,10032203,136307
15358,Wayland Academy,2019,1R8,Lead School,NR2 2LJ,7,N,3,,
15250,Hazel Wood Infant School,2019,2ED,Lead School,SO40 8WU,2,N,3,10074113,116243
15267,Great Yarmouth High School,2019,1SQ,Lead School,NR30 4LS,7,N,3,,
15260,Diocese of Salisbury Academy Trust,2019,294,Lead School,SN4 8AZ,3,N,3,,
15461,Malaga Learning Partnership,2019,22R,Lead School,BS3 5NR,3,N,3,,
15459,Rushcliffe School,2019,1ZF,Lead School,NG2 7BW,6,N,3,10037867,138482
15604,Castle Hill Infant School,2019,2DV,Lead School,IP1 6QD,7,N,3,10047499,141372
15261,Hope Valley College,2019,1AU,Lead School,S33 6SD,6,N,3,10084303,147533
15618,Nelmes Primary School,2019,26H,Lead School,RM11 3BX,1,N,3,10076423,102321
15262,Boxgrove Primary School,2019,1AW,Lead School,GU1 2TD,2,N,3,10043045,140057
15338,Bradford South Partnership,2019,2FA,Lead School,BD5 7DQ,9,N,3,,
15474,Surrey County Council,2019,15H,Lead School,KT1 2DW,1,Y,3,,
16117,St George RC School,2019,1NK,Lead School,W91RB,1,N,3,,
15266,The Open University,2019,O11,HEI,MK7 6BJ,2,Y,3,,
15376,The Warwickshire Consortium,2019,2DK,Lead School,CV8 1JP,5,N,3,,
15606,North Kesteven School,2019,1TL,Lead School,LN6 9AG,9,N,3,,
15646,Longcroft School and Sixth Form,2019,27A,Lead School,HU17 7EJ,9,N,3,,
15377,Town Farm Primary School,2019,261,Lead School,TW19 7HU,2,N,3,,
15462,St Ann's Primary School,2019,1US,Lead School,N15 5JG,1,N,3,,
15464,St Bede's Catholic College,2019,1MC,Lead School,BS11 0SU,3,N,3,10035687,137627
15534,Blessed George Napier Catholic School and Sports College,2019,287,Lead School,OX16 9DG,2,N,3,,
15475,Swansfield Park First School,2019,187,Lead School,NE66 1UL,10,N,3,,
15465,The Royal Borough of Windsor and Maidenhead SCITT,2019,1WM,SCITT,SL6 1RF,2,Y,3,10005550,
15536,Fakenham Academy Partnership,2019,2G8,Lead School,NR21 9QT,7,N,3,,
15466,ARK Teacher Training,2019,1ZU,SCITT,WC2B 6TD,1,Y,3,10044534,
15507,Woodberry Down Community Primary School,2019,1S6,Lead School,N4 1SY,1,N,3,10070050,100248
15468,Charles Dickens Primary School,2019,1KS,Lead School,SE1 1AF,1,N,3,10086305,148012
15509,Doncaster Regional Alliance for Teacher Training Secondary,2019,211,Lead School,DN1 3BU,9,N,3,,
15371,Parliament Hill School,2019,15S,Lead School,NW5 1RL,1,N,3,10004992,100050
15373,Palace Fields Primary Academy,2019,1HK,Lead School,WA7 2QW,8,N,3,10061759,143768
15405,The Ravensbourne School,2019,19J,Lead School,BR2 9EH,1,N,3,10033410,136540
15467,The Chalfonts Community College,2019,1H9,Lead School,SL9 8TP,2,N,3,10034796,137215
15268,"Churchfield Primary School, Gateway TSA (North London)",2019,1SU,Lead School,N9 9PL,1,N,3,,
15269,Dartford Grammar School,2019,1SW,Lead School,DA1 2HW,2,N,3,10032228,136359
15271,Oasis Academy Enfield,2019,1M5,Lead School,EN3 7XH,1,N,3,10021087,134311
15469,Springfield Community Primary School,2019,1KW,Lead School,N16 6DH,1,N,3,10075325,121792
15375,Bemrose School,2019,16Q,Lead School,DE22 3HU,6,N,3,,
15617,The Phoenix School,2019,143,Lead School,NG31 7US,9,N,3,,
15612,Gateshead SCITT Alliance (Dunston Hill School Direct),2019,1AQ,Lead School,NE11 9NX,10,N,3,,
15378,Okehampton Primary School,2019,1TJ,Lead School,EX20 1JB,3,N,3,,
15379,Boxgrove Primary School,2019,2CT,Lead School,SE2 9JP,1,N,3,10078042,100150
15380,West Ealing Primary Partnership,2019,1.00E+07,Lead School,UB6 8JD,1,N,3,,
15381,Cheadle and Marple College Network,2019,2EK,Lead School,SK8 5HA,8,N,3,,
15382,Monk Fryston Church of England Primary School,2019,2L7,Lead School,LS25 5PN,9,N,3,10067569,145778
